"","yr","st","Count","Injury","Fatality","Loss"
"46",2016,"AK",0,0,0,0
"1",2016,"AL",63,18,4,1098000
"2",2016,"AR",23,2,0,4341000
"47",2016,"AS",0,0,0,0
"3",2016,"AZ",1,0,0,0
"4",2016,"CA",4,0,0,500
"5",2016,"CO",39,4,0,213500
"6",2016,"CT",1,0,0,15000
"48",2016,"DC",0,0,0,0
"49",2016,"DE",0,0,0,0
"7",2016,"FL",45,18,2,45695000
"8",2016,"GA",28,5,0,6016000
"50",2016,"GU",0,0,0,0
"51",2016,"HI",0,0,0,0
"9",2016,"IA",45,12,0,5379200
"10",2016,"ID",2,0,0,0
"11",2016,"IL",45,16,0,3905000
"12",2016,"IN",42,20,0,10795500
"13",2016,"KS",102,12,0,4132000
"14",2016,"KY",24,15,0,5965000
"15",2016,"LA",27,94,2,261000
"16",2016,"MA",1,0,0,1e+06
"17",2016,"MD",3,0,0,75000
"18",2016,"ME",1,0,0,0
"19",2016,"MI",15,0,0,5635000
"20",2016,"MN",37,1,0,1625000
"21",2016,"MO",18,0,0,352000
"22",2016,"MS",45,2,1,6889000
"23",2016,"MT",6,7,0,1500000
"24",2016,"NC",16,5,0,2305000
"25",2016,"ND",22,0,0,8e+05
"26",2016,"NE",45,0,0,1049000
"27",2016,"NH",1,0,0,0
"28",2016,"NJ",2,0,0,0
"29",2016,"NM",9,0,0,0
"52",2016,"NV",0,0,0,0
"30",2016,"NY",2,0,0,18000
"31",2016,"OH",24,0,0,1160500
"32",2016,"OK",57,13,2,15138000
"33",2016,"OR",4,0,0,1e+06
"34",2016,"PA",9,0,0,8201000
"35",2016,"PR",1,0,0,10000
"53",2016,"RI",0,0,0,0
"36",2016,"SC",4,0,0,550000
"37",2016,"SD",13,0,0,135000
"38",2016,"TN",10,24,2,1225000
"39",2016,"TX",100,10,1,16185000
"40",2016,"UT",3,5,0,2300000
"41",2016,"VA",9,40,4,24482000
"54",2016,"VI",0,0,0,0
"55",2016,"VT",0,0,0,0
"42",2016,"WA",4,0,0,20000
"43",2016,"WI",16,0,0,1555000
"44",2016,"WV",6,2,0,132000
"45",2016,"WY",2,0,0,1000
