"","yr","st","Count","Injury","Fatality","Loss"
"46",2006,"AK",0,0,0,0
"1",2006,"AL",69,13,1,8.971
"2",2006,"AR",23,188,2,101.282
"47",2006,"AS",0,0,0,0
"3",2006,"AZ",6,0,0,0.013
"4",2006,"CA",9,0,0,0.102
"5",2006,"CO",20,0,0,0.14
"48",2006,"CT",0,0,0,0
"49",2006,"DC",0,0,0,0
"50",2006,"DE",0,0,0,0
"6",2006,"FL",42,30,0,61.99
"7",2006,"GA",21,16,0,16.455
"51",2006,"GU",0,0,0,0
"8",2006,"HI",2,0,0,0
"9",2006,"IA",38,32,1,12.836
"10",2006,"ID",9,1,0,0.321
"11",2006,"IL",119,46,1,4.105
"12",2006,"IN",25,5,0,11.956
"13",2006,"KS",90,6,0,3.8
"14",2006,"KY",19,34,0,42.8
"15",2006,"LA",41,9,1,4.456
"16",2006,"MA",1,0,0,0.2
"17",2006,"MD",3,0,0,7.003
"18",2006,"ME",1,0,0,0.12
"19",2006,"MI",10,0,0,0.66
"20",2006,"MN",25,39,2,77.242
"21",2006,"MO",96,144,11,92.294
"22",2006,"MS",31,8,0,7.392
"23",2006,"MT",1,0,0,0
"24",2006,"NC",31,21,9,2.28
"25",2006,"ND",21,0,0,0.241
"26",2006,"NE",21,0,0,5.542
"27",2006,"NH",2,2,0,0.003
"28",2006,"NJ",1,0,0,0.1
"29",2006,"NM",5,0,0,0
"30",2006,"NV",1,0,0,0
"31",2006,"NY",7,8,0,12.372
"32",2006,"OH",36,1,0,55.453
"33",2006,"OK",27,39,0,12.391
"34",2006,"OR",4,0,0,0.02
"35",2006,"PA",8,5,1,3.355
"36",2006,"PR",1,0,0,0.03
"52",2006,"RI",0,0,0,0
"37",2006,"SC",36,21,0,2.591
"38",2006,"SD",27,3,0,17.16
"39",2006,"TN",25,259,34,154.397
"40",2006,"TX",115,54,4,24.039
"41",2006,"UT",2,0,0,0
"42",2006,"VA",16,3,0,0.432
"53",2006,"VI",0,0,0,0
"54",2006,"VT",0,0,0,0
"43",2006,"WA",2,0,0,0
"44",2006,"WI",13,1,0,5.014
"55",2006,"WV",0,0,0,0
"45",2006,"WY",1,0,0,0
