"","yr","st","Count","Injury","Fatality","Loss"
"45",2013,"AK",0,0,0,0
"1",2013,"AL",21,12,0,1.77
"2",2013,"AR",31,18,2,8.63
"46",2013,"AS",0,0,0,0
"3",2013,"AZ",1,0,0,0
"4",2013,"CA",4,0,0,0.02
"5",2013,"CO",26,0,0,0.005
"6",2013,"CT",4,0,0,5.075
"47",2013,"DC",0,0,0,0
"7",2013,"DE",1,0,0,0
"8",2013,"FL",37,5,0,6.4545
"9",2013,"GA",17,20,1,77.252
"48",2013,"GU",0,0,0,0
"49",2013,"HI",0,0,0,0
"10",2013,"IA",25,0,1,4.899
"11",2013,"ID",6,0,0,0
"12",2013,"IL",52,156,5,1072.762
"13",2013,"IN",40,10,0,3.3685
"14",2013,"KS",55,1,0,2.138
"15",2013,"KY",35,42,3,12.123
"16",2013,"LA",35,5,0,2.215
"17",2013,"MA",2,0,0,0.02
"18",2013,"MD",10,0,0,0.041
"19",2013,"ME",4,0,0,0
"20",2013,"MI",11,0,0,0.991
"21",2013,"MN",15,0,0,2
"22",2013,"MO",48,10,0,68.2868
"23",2013,"MS",30,86,2,42.782
"24",2013,"MT",6,0,0,0.5
"25",2013,"NC",10,3,0,6.9005
"26",2013,"ND",16,0,0,0.1
"27",2013,"NE",50,17,0,7.74
"50",2013,"NH",0,0,0,0
"28",2013,"NJ",3,0,0,0.3
"29",2013,"NM",2,0,0,0
"51",2013,"NV",0,0,0,0
"30",2013,"NY",6,1,0,0.235
"31",2013,"OH",30,8,0,7.12
"32",2013,"OK",82,270,34,2008.748
"33",2013,"OR",3,0,0,0.001
"34",2013,"PA",9,7,0,0.5215
"35",2013,"PR",1,0,0,0.01
"52",2013,"RI",0,0,0,0
"36",2013,"SC",9,9,0,0.643
"37",2013,"SD",13,1,0,0.325
"38",2013,"TN",41,4,0,8.149
"39",2013,"TX",84,67,7,270.215
"40",2013,"UT",1,0,0,0.01
"41",2013,"VA",5,0,0,0.05
"53",2013,"VI",0,0,0,0
"54",2013,"VT",0,0,0,0
"42",2013,"WA",2,0,0,0.035
"43",2013,"WI",15,2,0,19.502
"55",2013,"WV",0,0,0,0
"44",2013,"WY",8,0,0,0
