"","yr","st","Count","Injury","Fatality","Loss"
"42",2007,"AK",0,0,0,0
"1",2007,"AL",40,67,10,297.957
"2",2007,"AR",15,40,0,46.769
"43",2007,"AS",0,0,0,0
"44",2007,"AZ",0,0,0,0
"3",2007,"CA",6,0,0,0.178
"4",2007,"CO",55,9,2,4.098
"5",2007,"CT",2,0,0,0
"45",2007,"DC",0,0,0,0
"46",2007,"DE",0,0,0,0
"6",2007,"FL",49,81,21,230.772
"7",2007,"GA",40,38,10,126.331
"47",2007,"GU",0,0,0,0
"48",2007,"HI",0,0,0,0
"8",2007,"IA",42,7,0,26.524
"9",2007,"ID",3,0,0,0.001
"10",2007,"IL",22,3,0,0.347
"11",2007,"IN",18,1,0,16.603
"12",2007,"KS",140,82,14,259.887
"13",2007,"KY",30,19,0,17.846
"14",2007,"LA",23,53,3,10.945
"15",2007,"MA",1,0,0,0
"16",2007,"MD",2,0,0,0.01
"17",2007,"ME",1,0,0,0
"18",2007,"MI",23,9,3,85.719
"19",2007,"MN",17,0,0,0.505
"20",2007,"MO",42,5,3,2.133
"21",2007,"MS",33,13,0,6.995
"22",2007,"MT",5,0,0,0.051
"23",2007,"NC",13,0,0,0.271
"24",2007,"ND",38,22,1,56.005
"25",2007,"NE",45,16,0,6.241
"49",2007,"NH",0,0,0,0
"50",2007,"NJ",0,0,0,0
"26",2007,"NM",22,45,2,22.555
"51",2007,"NV",0,0,0,0
"27",2007,"NY",3,9,0,0.01
"28",2007,"OH",12,0,0,2.575
"29",2007,"OK",49,7,0,10.374
"30",2007,"OR",2,0,0,0.02
"31",2007,"PA",7,0,0,0.71
"32",2007,"PR",1,0,0,0.035
"52",2007,"RI",0,0,0,0
"33",2007,"SC",18,29,1,0.44
"34",2007,"SD",41,0,0,0.709
"35",2007,"TN",10,23,0,4.375
"36",2007,"TX",198,35,11,94.957
"37",2007,"UT",1,0,0,0
"38",2007,"VA",2,0,0,0.08
"53",2007,"VI",0,0,0,0
"54",2007,"VT",0,0,0,0
"55",2007,"WA",0,0,0,0
"39",2007,"WI",18,4,0,15.8
"40",2007,"WV",1,0,0,0.008
"41",2007,"WY",5,0,0,0
