"","yr","st","Count","Injury","Fatality","Loss"
"45",2015,"AK",0,0,0,0
"1",2015,"AL",31,8,0,1.335
"2",2015,"AR",20,8,2,3.485
"46",2015,"AS",0,0,0,0
"3",2015,"AZ",5,0,0,0
"4",2015,"CA",10,2,0,20.025
"5",2015,"CO",54,0,0,0.2295
"47",2015,"CT",0,0,0,0
"48",2015,"DC",0,0,0,0
"6",2015,"DE",1,0,0,0.2
"7",2015,"FL",30,4,0,0.342
"8",2015,"GA",23,3,0,0.683
"49",2015,"GU",0,0,0,0
"9",2015,"HI",1,0,0,0
"10",2015,"IA",59,5,0,5.533
"11",2015,"ID",1,0,0,0
"12",2015,"IL",67,27,2,50.989
"13",2015,"IN",21,0,0,1.044
"14",2015,"KS",126,3,0,10.884
"15",2015,"KY",17,3,0,0.79
"16",2015,"LA",29,4,0,1.167
"17",2015,"MA",2,0,0,0.045
"18",2015,"MD",4,0,0,0.518
"50",2015,"ME",0,0,0,0
"19",2015,"MI",14,7,0,5.341
"20",2015,"MN",39,0,0,3.22
"21",2015,"MO",47,0,0,2.057
"22",2015,"MS",45,64,11,15.322
"23",2015,"MT",3,1,0,0.05
"24",2015,"NC",9,0,0,0.2275
"25",2015,"ND",30,0,0,0.165
"26",2015,"NE",23,0,0,2.25
"27",2015,"NH",1,0,0,0
"51",2015,"NJ",0,0,0,0
"28",2015,"NM",6,1,0,0.12
"29",2015,"NV",1,0,0,0
"30",2015,"NY",2,0,0,0.035
"31",2015,"OH",7,2,0,0.89
"32",2015,"OK",108,55,2,59.32
"33",2015,"OR",1,0,0,0.025
"34",2015,"PA",12,1,0,5.265
"52",2015,"PR",0,0,0,0
"53",2015,"RI",0,0,0,0
"35",2015,"SC",8,2,0,1.795
"36",2015,"SD",24,9,0,1.735
"37",2015,"TN",16,4,2,5.845
"38",2015,"TX",241,708,17,114.77
"39",2015,"UT",2,0,0,0
"40",2015,"VA",7,0,0,0.124
"54",2015,"VI",0,0,0,0
"55",2015,"VT",0,0,0,0
"41",2015,"WA",2,0,0,0.311
"42",2015,"WI",17,0,0,0.5181
"43",2015,"WV",3,0,0,0.425
"44",2015,"WY",8,0,0,0
