"","yr","st","Count","Injury","Fatality","Loss"
"48",2012,"AK",0,0,0,0
"1",2012,"AL",55,82,3,1.594
"2",2012,"AR",18,3,0,12.812
"49",2012,"AS",0,0,0,0
"3",2012,"AZ",1,0,0,0
"4",2012,"CA",12,0,0,0.05
"5",2012,"CO",33,8,0,1.16
"50",2012,"CT",0,0,0,0
"51",2012,"DC",0,0,0,0
"6",2012,"DE",1,0,0,0.1
"7",2012,"FL",48,3,1,4.131
"8",2012,"GA",15,1,0,14.595
"52",2012,"GU",0,0,0,0
"9",2012,"HI",1,0,0,0
"10",2012,"IA",16,6,0,6.36
"11",2012,"ID",2,0,0,0
"12",2012,"IL",30,117,9,3.274
"13",2012,"IN",18,5,14,60.47
"14",2012,"KS",93,50,1,500.41
"15",2012,"KY",41,226,25,158.484
"16",2012,"LA",45,3,0,12.054
"17",2012,"MA",1,0,0,0.003
"18",2012,"MD",16,2,0,0.887
"19",2012,"ME",1,0,0,0
"20",2012,"MI",6,0,0,12.695
"21",2012,"MN",36,0,0,2.092
"22",2012,"MO",29,70,6,24.835
"23",2012,"MS",48,31,0,9.604
"24",2012,"MT",3,0,0,0
"25",2012,"NC",23,22,0,19.5505
"26",2012,"ND",9,0,0,0
"27",2012,"NE",43,5,0,2.699
"28",2012,"NH",2,0,0,0
"29",2012,"NJ",1,0,0,0.025
"30",2012,"NM",6,0,0,0.051
"31",2012,"NV",2,0,0,0
"32",2012,"NY",8,0,0,10.718
"33",2012,"OH",12,2,1,2.735
"34",2012,"OK",63,32,6,0.41
"53",2012,"OR",0,0,0,0
"35",2012,"PA",12,15,0,9.335
"36",2012,"PR",1,0,0,0.03
"37",2012,"RI",1,0,0,0.05
"38",2012,"SC",10,0,0,0.917
"39",2012,"SD",11,0,0,0.501
"40",2012,"TN",28,85,3,47.101
"41",2012,"TX",115,47,0,724.131
"42",2012,"UT",1,0,0,0
"43",2012,"VA",11,6,0,3.043
"54",2012,"VI",0,0,0,0
"44",2012,"VT",1,0,0,0.01
"55",2012,"WA",0,0,0,0
"45",2012,"WI",4,0,0,0.42
"46",2012,"WV",1,0,0,0.15
"47",2012,"WY",4,1,0,0
