"","yr","st","Count","Injury","Fatality","Loss"
"47",2017,"AK",0,0,0,0
"1",2017,"AL",57,14,0,2342000
"2",2017,"AR",37,13,0,4593000
"48",2017,"AS",0,0,0,0
"3",2017,"AZ",3,0,0,0
"4",2017,"CA",3,0,0,25000
"5",2017,"CO",19,0,0,2000
"49",2017,"CT",0,0,0,0
"6",2017,"DC",1,1,0,0
"7",2017,"DE",1,0,0,0
"8",2017,"FL",57,1,0,1646000
"9",2017,"GA",117,151,16,322423000
"50",2017,"GU",0,0,0,0
"51",2017,"HI",0,0,0,0
"10",2017,"IA",52,6,0,4874000
"11",2017,"ID",1,0,0,200
"12",2017,"IL",49,18,3,8961000
"13",2017,"IN",29,12,0,13805000
"14",2017,"KS",60,2,0,987000
"15",2017,"KY",25,2,0,4940000
"16",2017,"LA",84,46,3,12712000
"17",2017,"MA",2,1,0,434000
"18",2017,"MD",4,1,0,750000
"19",2017,"ME",7,1,0,0
"20",2017,"MI",9,0,0,310000
"21",2017,"MN",60,0,0,4570000
"22",2017,"MO",81,33,1,19770000
"23",2017,"MS",68,60,5,30100000
"24",2017,"MT",1,0,0,0
"25",2017,"NC",28,3,0,40033000
"26",2017,"ND",32,0,0,3601000
"27",2017,"NE",32,0,0,4101000
"52",2017,"NH",0,0,0,0
"28",2017,"NJ",2,0,0,0
"29",2017,"NM",12,0,0,0
"30",2017,"NV",2,0,0,0
"31",2017,"NY",12,0,0,462000
"32",2017,"OH",41,10,0,12730000
"33",2017,"OK",85,40,1,77690000
"34",2017,"OR",3,0,0,280000
"35",2017,"PA",25,1,0,2110000
"36",2017,"PR",1,0,0,0
"53",2017,"RI",0,0,0,0
"37",2017,"SC",43,4,1,3538000
"38",2017,"SD",15,0,0,0
"39",2017,"TN",33,1,0,9080000
"40",2017,"TX",169,70,4,21885500
"41",2017,"UT",2,0,0,0
"42",2017,"VA",26,0,0,9994000
"54",2017,"VI",0,0,0,0
"55",2017,"VT",0,0,0,0
"43",2017,"WA",2,0,0,4000
"44",2017,"WI",23,25,1,12119500
"45",2017,"WV",4,0,0,385000
"46",2017,"WY",10,2,0,614000
