"","yr","st","Count","Injury","Fatality","Loss"
"44",2014,"AK",0,0,0,0
"1",2014,"AL",52,68,2,1.015
"2",2014,"AR",20,200,17,226.8
"45",2014,"AS",0,0,0,0
"3",2014,"AZ",3,0,0,0.55
"4",2014,"CA",9,0,0,0
"5",2014,"CO",49,2,0,0.008
"6",2014,"CT",1,0,0,0.025
"46",2014,"DC",0,0,0,0
"7",2014,"DE",1,2,0,0.15
"8",2014,"FL",28,2,0,3.124
"9",2014,"GA",30,12,0,2.8385
"47",2014,"GU",0,0,0,0
"48",2014,"HI",0,0,0,0
"10",2014,"IA",55,0,2,7.183
"11",2014,"ID",3,0,0,0.001
"12",2014,"IL",48,2,0,4.066
"13",2014,"IN",27,0,0,2.471
"14",2014,"KS",40,2,0,0.61
"15",2014,"KY",26,1,0,1.444
"16",2014,"LA",15,0,0,5.842
"17",2014,"MA",3,2,0,4.1
"18",2014,"MD",2,0,0,0
"19",2014,"ME",4,0,0,0
"20",2014,"MI",13,6,0,6.179
"21",2014,"MN",23,0,0,0.972
"22",2014,"MO",46,5,0,0.6
"23",2014,"MS",40,209,16,196.9595
"24",2014,"MT",8,0,0,0
"25",2014,"NC",31,26,1,22.454
"26",2014,"ND",14,9,0,2.5
"27",2014,"NE",62,21,2,52.531
"28",2014,"NH",2,0,0,0
"49",2014,"NJ",0,0,0,0
"29",2014,"NM",14,0,0,0.2
"30",2014,"NV",6,0,0,0.002
"31",2014,"NY",11,0,4,1.16
"32",2014,"OH",20,0,0,2.594
"33",2014,"OK",16,37,1,13.105
"50",2014,"OR",0,0,0,0
"34",2014,"PA",9,0,0,0.3185
"51",2014,"PR",0,0,0,0
"52",2014,"RI",0,0,0,0
"35",2014,"SC",7,0,0,0.011
"36",2014,"SD",29,3,0,5.73
"37",2014,"TN",15,1,2,0.835
"38",2014,"TX",46,8,0,5.5905
"53",2014,"UT",0,0,0,0
"39",2014,"VA",12,15,0,0.725
"54",2014,"VI",0,0,0,0
"55",2014,"VT",0,0,0,0
"40",2014,"WA",3,0,0,0.187
"41",2014,"WI",21,5,0,39.003
"42",2014,"WV",9,2,0,0.67
"43",2014,"WY",13,1,0,0.132
