"","yr","st","Count","Injury","Fatality","Loss"
"50",2011,"AK",0,0,0,0
"1",2011,"AL",136,2061,237,4641.574
"2",2011,"AR",72,97,12,303.094
"51",2011,"AS",0,0,0,0
"3",2011,"AZ",3,0,0,0
"4",2011,"CA",9,0,0,0.634
"5",2011,"CO",21,0,0,0.04
"6",2011,"CT",1,0,0,0
"52",2011,"DC",0,0,0,0
"7",2011,"DE",1,0,0,0
"8",2011,"FL",39,0,0,10.958
"9",2011,"GA",38,400,26,197.599
"53",2011,"GU",0,0,0,0
"10",2011,"HI",1,0,0,0
"11",2011,"IA",51,19,0,37.791
"12",2011,"ID",2,0,0,0.007
"13",2011,"IL",72,8,0,16.823
"14",2011,"IN",72,2,0,4.715
"15",2011,"KS",67,7,3,20.725
"16",2011,"KY",57,13,0,10.203
"17",2011,"LA",57,21,1,27.124
"18",2011,"MA",4,200,3,227.6
"19",2011,"MD",27,0,0,0.835
"20",2011,"ME",5,0,0,0
"21",2011,"MI",14,0,0,1.846
"22",2011,"MN",30,48,1,186.09
"23",2011,"MO",77,1180,158,2838.262
"24",2011,"MS",94,298,42,622.529
"25",2011,"MT",9,0,0,0.375
"26",2011,"NC",65,467,26,412.354
"27",2011,"ND",59,1,0,5.825
"28",2011,"NE",55,1,0,19.701
"29",2011,"NH",1,0,0,0
"30",2011,"NJ",2,0,0,0.125
"31",2011,"NM",2,0,0,0
"32",2011,"NV",1,0,0,0
"33",2011,"NY",21,0,0,2.78
"34",2011,"OH",39,0,0,2.586
"35",2011,"OK",118,406,14,5.312
"36",2011,"OR",1,0,0,0.001
"37",2011,"PA",30,5,0,5.175
"38",2011,"PR",1,0,0,0.08
"54",2011,"RI",0,0,0,0
"39",2011,"SC",20,8,3,2.91
"40",2011,"SD",19,0,0,0.085
"41",2011,"TN",97,132,20,56.158
"42",2011,"TX",102,7,0,20.241
"43",2011,"UT",1,0,0,0
"44",2011,"VA",48,97,6,32.156
"55",2011,"VI",0,0,0,0
"45",2011,"VT",1,0,0,0.01
"46",2011,"WA",2,0,0,0.01
"47",2011,"WI",39,5,1,33.882
"48",2011,"WV",1,0,0,0.006
"49",2011,"WY",7,0,0,0
