"","yr","st","Count","Injury","Fatality","Loss"
"46",2009,"AK",0,0,0,0
"1",2009,"AL",79,25,2,12.745
"2",2009,"AR",42,39,3,142.301
"47",2009,"AS",0,0,0,0
"3",2009,"AZ",4,0,0,0
"4",2009,"CA",2,0,0,0.1
"5",2009,"CO",42,2,0,0.86
"6",2009,"CT",3,0,0,0.77
"48",2009,"DC",0,0,0,0
"49",2009,"DE",0,0,0,0
"7",2009,"FL",37,1,0,6.204
"8",2009,"GA",54,26,1,37.188
"50",2009,"GU",0,0,0,0
"9",2009,"HI",1,1,0,0
"10",2009,"IA",25,0,0,1.542
"11",2009,"ID",2,0,0,0
"12",2009,"IL",52,27,0,25.052
"13",2009,"IN",9,1,0,2.913
"14",2009,"KS",103,6,0,5.376
"15",2009,"KY",32,21,2,1.561
"16",2009,"LA",75,22,0,20.652
"51",2009,"MA",0,0,0,0
"17",2009,"MD",10,2,0,0.01
"18",2009,"ME",7,0,0,0
"19",2009,"MI",3,0,0,0
"20",2009,"MN",24,0,0,4.504
"21",2009,"MO",44,11,3,18.432
"22",2009,"MS",44,32,1,20.919
"23",2009,"MT",4,0,0,0
"24",2009,"NC",33,8,0,3.21
"25",2009,"ND",30,2,0,21.482
"26",2009,"NE",38,8,0,1.885
"52",2009,"NH",0,0,0,0
"27",2009,"NJ",1,0,0,0.875
"28",2009,"NM",4,0,0,0.01
"29",2009,"NV",2,0,0,0
"30",2009,"NY",9,1,0,3.161
"31",2009,"OH",13,0,0,0.308
"32",2009,"OK",33,11,0,56.656
"33",2009,"OR",4,0,0,0.2
"34",2009,"PA",7,5,0,2.035
"35",2009,"PR",1,0,0,0.015
"53",2009,"RI",0,0,0,0
"36",2009,"SC",19,16,0,9.437
"37",2009,"SD",34,0,0,0.136
"38",2009,"TN",46,62,2,107.809
"39",2009,"TX",129,19,8,55.05
"40",2009,"UT",4,0,0,0.066
"41",2009,"VA",16,0,0,1.053
"54",2009,"VI",0,0,0,0
"42",2009,"VT",2,0,0,0.175
"43",2009,"WA",6,0,0,0.21
"44",2009,"WI",16,0,0,0.823
"55",2009,"WV",0,0,0,0
"45",2009,"WY",11,2,0,0.317
