"","yr","st","Count","Injury","Fatality","Loss"
"1",2004,"AK",2,0,0,0
"2",2004,"AL",55,12,1,5.8
"3",2004,"AR",48,11,0,12.788
"48",2004,"AS",0,0,0,0
"4",2004,"AZ",3,0,0,0
"5",2004,"CA",10,0,0,0.023
"6",2004,"CO",84,4,0,3.056
"49",2004,"CT",0,0,0,0
"50",2004,"DC",0,0,0,0
"7",2004,"DE",2,0,0,1
"8",2004,"FL",104,17,6,15.303
"9",2004,"GA",44,12,1,5.735
"51",2004,"GU",0,0,0,0
"10",2004,"HI",3,0,0,0
"11",2004,"IA",120,15,0,5.057
"12",2004,"ID",5,0,0,0.1
"13",2004,"IL",80,23,9,18.87
"14",2004,"IN",47,49,1,46.051
"15",2004,"KS",124,6,0,29.331
"16",2004,"KY",22,12,0,11.15
"17",2004,"LA",28,32,1,10.334
"18",2004,"MA",2,0,0,1.53
"19",2004,"MD",18,0,0,1.215
"20",2004,"ME",1,0,0,0
"21",2004,"MI",23,0,0,0.782
"22",2004,"MN",57,0,0,2.415
"23",2004,"MO",71,27,7,15.01
"24",2004,"MS",54,6,1,18.349
"25",2004,"MT",6,0,0,0
"26",2004,"NC",66,37,3,3.275
"27",2004,"ND",46,0,0,2.48
"28",2004,"NE",111,42,1,173.262
"29",2004,"NH",1,0,0,0
"30",2004,"NJ",2,2,0,0.6
"31",2004,"NM",11,0,0,0
"32",2004,"NV",5,0,0,0
"33",2004,"NY",8,0,0,0.34
"34",2004,"OH",8,1,0,0.3
"35",2004,"OK",62,0,0,10.584
"36",2004,"OR",6,0,0,0.001
"37",2004,"PA",26,0,0,22.231
"38",2004,"PR",1,0,0,0
"52",2004,"RI",0,0,0,0
"39",2004,"SC",85,33,1,4.128
"40",2004,"SD",35,0,0,0.141
"41",2004,"TN",15,2,0,2.041
"42",2004,"TX",178,15,2,9.709
"53",2004,"UT",0,0,0,0
"43",2004,"VA",83,14,0,68.314
"54",2004,"VI",0,0,0,0
"55",2004,"VT",0,0,0,0
"44",2004,"WA",9,0,0,0.06
"45",2004,"WI",36,17,1,30.224
"46",2004,"WV",4,6,0,0.31
"47",2004,"WY",6,0,0,0
