"","yr","st","Count","Injury","Fatality","Loss"
"1",2005,"AK",1,0,0,0
"2",2005,"AL",81,8,0,4.765
"3",2005,"AR",69,33,3,7.62
"44",2005,"AS",0,0,0,0
"4",2005,"AZ",8,0,0,0.02
"5",2005,"CA",30,0,0,2.035
"6",2005,"CO",34,1,0,0.041
"45",2005,"CT",0,0,0,0
"46",2005,"DC",0,0,0,0
"47",2005,"DE",0,0,0,0
"7",2005,"FL",56,4,0,9.843
"8",2005,"GA",54,34,4,96.072
"48",2005,"GU",0,0,0,0
"9",2005,"HI",2,0,0,0
"10",2005,"IA",44,14,1,18.199
"11",2005,"ID",6,0,0,0.13
"12",2005,"IL",21,0,0,0.07
"13",2005,"IN",14,32,0,18.3
"14",2005,"KS",136,0,0,7.604
"15",2005,"KY",17,303,25,130.526
"16",2005,"LA",23,18,0,6.802
"17",2005,"MA",1,0,0,0
"49",2005,"MD",0,0,0,0
"18",2005,"ME",2,0,0,0.251
"19",2005,"MI",5,0,0,0.18
"20",2005,"MN",71,2,0,0.34
"21",2005,"MO",39,9,1,6.59
"22",2005,"MS",105,22,1,534.613
"23",2005,"MT",10,0,0,0
"24",2005,"NC",23,0,0,2.953
"25",2005,"ND",53,0,0,0.26
"26",2005,"NE",40,0,0,0.82
"50",2005,"NH",0,0,0,0
"51",2005,"NJ",0,0,0,0
"27",2005,"NM",7,0,0,0
"28",2005,"NV",1,0,0,0
"29",2005,"NY",4,0,0,0.23
"30",2005,"OH",4,0,0,0.23
"31",2005,"OK",27,0,0,0.411
"32",2005,"OR",1,0,0,0
"33",2005,"PA",11,0,0,0.26
"34",2005,"PR",1,0,0,0.01
"52",2005,"RI",0,0,0,0
"35",2005,"SC",14,1,0,2.183
"36",2005,"SD",19,0,0,0.05
"37",2005,"TN",23,14,0,10.343
"38",2005,"TX",105,2,0,2.321
"39",2005,"UT",4,0,0,0.01
"40",2005,"VA",24,0,0,2.237
"53",2005,"VI",0,0,0,0
"54",2005,"VT",0,0,0,0
"41",2005,"WA",4,0,0,0.01
"42",2005,"WI",63,27,1,44.009
"55",2005,"WV",0,0,0,0
"43",2005,"WY",6,13,2,5
