"","yr","st","Count","Injury","Fatality","Loss"
"45",2001,"AK",0,0,0,0
"1",2001,"AL",55,107,6,13.648
"2",2001,"AR",39,24,2,2.853
"46",2001,"AS",0,0,0,0
"3",2001,"AZ",3,0,0,0
"4",2001,"CA",7,0,0,0.46
"5",2001,"CO",46,13,0,8.28
"6",2001,"CT",4,1,0,0.49
"47",2001,"DC",0,0,0,0
"48",2001,"DE",0,0,0,0
"7",2001,"FL",70,29,2,15.317
"8",2001,"GA",12,23,0,4.658
"49",2001,"GU",0,0,0,0
"50",2001,"HI",0,0,0,0
"9",2001,"IA",104,12,2,5.307
"10",2001,"ID",2,0,0,0
"11",2001,"IL",21,3,0,7.8
"12",2001,"IN",23,24,2,25.246
"13",2001,"KS",101,31,1,47.1
"14",2001,"KY",6,14,0,18.27
"15",2001,"LA",32,14,4,3.2
"16",2001,"MA",2,0,0,0.03
"17",2001,"MD",10,55,2,102.104
"18",2001,"ME",2,1,0,0
"19",2001,"MI",34,8,0,22.22
"20",2001,"MN",73,13,0,57.882
"21",2001,"MO",39,12,1,18.491
"22",2001,"MS",59,204,12,77.303
"23",2001,"MT",9,0,0,0
"24",2001,"NC",13,3,0,0.33
"25",2001,"ND",47,1,0,2.15
"26",2001,"NE",62,9,0,10.424
"51",2001,"NH",0,0,0,0
"27",2001,"NJ",2,0,0,1.01
"28",2001,"NM",5,0,0,0
"52",2001,"NV",0,0,0,0
"29",2001,"NY",3,0,0,0.001
"30",2001,"OH",8,1,0,3.114
"31",2001,"OK",60,16,1,105.749
"32",2001,"OR",4,0,0,0
"33",2001,"PA",12,0,0,1.25
"34",2001,"PR",1,0,0,0.02
"53",2001,"RI",0,0,0,0
"35",2001,"SC",14,39,0,8.8
"36",2001,"SD",31,0,0,0.42
"37",2001,"TN",14,14,3,4.9
"38",2001,"TX",137,49,0,344.925
"39",2001,"UT",5,0,0,0
"40",2001,"VA",13,4,0,3.442
"54",2001,"VI",0,0,0,0
"55",2001,"VT",0,0,0,0
"41",2001,"WA",2,0,0,0.1
"42",2001,"WI",12,17,2,11.36
"43",2001,"WV",1,0,0,0.18
"44",2001,"WY",16,2,0,0
