"","yr","st","Count","Injury","Fatality","Loss"
"42",2008,"AK",0,0,0,0
"1",2008,"AL",93,113,6,28.367
"2",2008,"AR",80,225,21,369.701
"43",2008,"AS",0,0,0,0
"3",2008,"AZ",3,0,0,0
"4",2008,"CA",7,1,0,1.11
"5",2008,"CO",39,79,1,147.08
"44",2008,"CT",0,0,0,0
"45",2008,"DC",0,0,0,0
"46",2008,"DE",0,0,0,0
"6",2008,"FL",56,13,1,10.911
"7",2008,"GA",62,75,5,171.042
"47",2008,"GU",0,0,0,0
"8",2008,"HI",2,0,0,0
"9",2008,"IA",104,85,9,107.121
"10",2008,"ID",2,0,0,0.001
"11",2008,"IL",48,11,0,17.347
"12",2008,"IN",30,33,4,57.603
"13",2008,"KS",185,9,4,108.103
"14",2008,"KY",35,42,7,41.305
"15",2008,"LA",79,8,3,13.763
"48",2008,"MA",0,0,0,0
"16",2008,"MD",7,0,0,0.942
"49",2008,"ME",0,0,0,0
"17",2008,"MI",14,0,0,0.65
"18",2008,"MN",42,24,1,40.03
"19",2008,"MO",91,42,4,52.475
"20",2008,"MS",109,88,3,247.035
"21",2008,"MT",2,0,0,0
"22",2008,"NC",55,22,3,22.407
"23",2008,"ND",32,3,0,2.054
"24",2008,"NE",57,51,4,13.368
"25",2008,"NH",1,2,1,2.027
"50",2008,"NJ",0,0,0,0
"26",2008,"NM",11,0,0,0.012
"51",2008,"NV",0,0,0,0
"27",2008,"NY",2,0,0,0.045
"28",2008,"OH",12,6,0,3.282
"29",2008,"OK",77,359,21,64.376
"52",2008,"OR",0,0,0,0
"30",2008,"PA",5,0,0,2.105
"53",2008,"PR",0,0,0,0
"31",2008,"RI",1,0,0,0.06
"32",2008,"SC",56,15,0,5.922
"33",2008,"SD",26,0,0,0.21
"34",2008,"TN",42,139,28,175.48
"35",2008,"TX",120,20,0,56.93
"54",2008,"UT",0,0,0,0
"36",2008,"VA",39,223,0,45.514
"55",2008,"VI",0,0,0,0
"37",2008,"VT",2,0,0,0.15
"38",2008,"WA",3,0,0,0.525
"39",2008,"WI",38,11,0,26.728
"40",2008,"WV",2,1,0,0.115
"41",2008,"WY",18,2,0,0.35
